"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1460",1010965,1,4,1,3,3,1,1,1,3,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",65,88
"1461",1010966,2,4,1,1,1,2,2,1,1,2,98,3,98,5,98,5,"timeTracker2_R13PAD6B",70,88
"1462",1010967,1,5,2,1,1,2,1,1,2,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",22,88
"1463",1010981,2,4,2,4,4,1,1,2,2,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",81,88
"1464",1010989,1,3,2,4,2,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",123,88
"1465",1010996,1,2,2,3,7,2,2,2,3,2,98,3,98,1,98,1,"timeTracker2_R13PAD6B",97,88
"1466",1011001,1,1,2,1,3,1,1,1,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",83,88
"1467",1011002,1,3,2,2,2,2,1,1,2,2,98,3,98,3,98,4,"timeTracker2_R13PAD6B",134,88
"1468",1011003,2,5,2,5,4,1,1,2,2,2,98,1,98,1,98,3,"timeTracker2_R13PAD6B",297,88
"1469",1011004,2,5,1,5,7,1,1,1,2,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",89,88
"1470",1011007,2,3,2,3,1,1,2,1,3,2,98,1,98,5,98,1,"timeTracker2_R13PAD6B",75,88
"1471",1011008,1,4,2,3,1,2,1,2,2,2,98,4,98,4,98,3,"timeTracker2_R13PAD6B",235,88
"1472",1011011,1,2,2,3,3,1,1,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",56,88
"1473",1011015,1,5,2,5,7,2,2,2,1,1,3,98,2,98,2,98,"timeTracker2_R13PAD6A",51,88
"1474",1011025,1,2,2,3,5,1,1,1,1,1,3,98,2,98,1,98,"timeTracker2_R13PAD6A",85,88
"1475",1011038,1,5,1,5,6,2,1,2,1,2,98,1,98,5,98,1,"timeTracker2_R13PAD6B",50,88
"1476",1011053,2,4,2,3,4,1,2,1,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",125,88
"1477",1011055,1,4,2,2,4,1,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",83,88
"1478",1011058,2,3,2,4,5,1,2,2,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",50,88
"1479",1011060,2,2,2,1,1,1,1,2,2,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",293,88
"1480",1011062,2,4,2,2,6,1,2,1,3,2,98,3,98,2,98,1,"timeTracker2_R13PAD6B",235,88
"1481",1011069,1,4,2,4,6,2,1,2,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",118,88
"1482",1011074,2,3,2,3,3,2,1,1,2,1,4,98,3,98,2,98,"timeTracker2_R13PAD6A",109,88
