"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1215",1008844,1,3,2,2,3,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",31
"1216",1008855,1,2,2,1,2,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",71
"1217",1008875,1,3,2,3,6,2,1,1,3,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",94
"1218",1008885,2,4,2,4,1,1,1,1,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",86
"1219",1008887,1,3,2,3,1,2,2,2,2,2,98,1,98,5,98,4,"timeTracker2_R13PAD6B",85
"1220",1008891,1,4,2,3,1,2,1,2,1,2,98,3,98,4,98,4,"timeTracker2_R13PAD6B",87
"1221",1008897,1,3,2,2,3,1,1,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",63
"1222",1008898,2,3,2,2,2,1,1,1,1,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",94
"1223",1008899,1,4,2,3,5,1,1,2,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",47
"1224",1008903,1,3,2,1,2,2,2,1,1,2,98,2,98,2,98,3,"timeTracker2_R13PAD6B",108
"1225",1008907,1,2,2,1,7,2,2,1,2,2,98,4,98,4,98,4,"timeTracker2_R13PAD6B",80
"1226",1008917,1,4,2,5,2,1,1,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",148
"1227",1008918,1,4,1,2,5,1,1,2,2,2,98,2,98,1,98,1,"timeTracker2_R13PAD6B",116
"1228",1008922,1,4,2,1,2,1,2,2,3,2,98,97,98,97,98,97,"timeTracker2_R13PAD6B",52
"1229",1008925,2,4,1,3,2,2,2,1,2,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",70
"1230",1008930,2,4,2,1,4,1,1,2,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",99
"1231",1008940,1,2,2,2,6,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",156
"1232",1008944,1,4,2,4,6,1,2,2,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",71
"1233",1008950,2,3,1,4,3,1,2,1,1,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",48
"1234",1008956,1,2,2,5,1,2,1,2,2,2,98,3,98,3,98,4,"timeTracker2_R13PAD6B",89
"1235",1008972,2,3,1,2,5,1,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",81
"1236",1008974,2,1,2,3,4,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",331
"1237",1008975,2,4,2,4,2,2,2,1,1,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",67
"1238",1008990,1,3,2,2,3,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",92
"1239",1008991,1,4,2,2,2,1,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",80
